Participant_ID,durinmin,CND1R2M3E,Black.violence,Police.violence,White.violence,Black.blame,Police.blame,White.blame,QA_Rowland.Raped.Paige11223IDK,Black.caused,Police.caused,White.caused,Black.intentionality,Police.intentionality,White.intentionality,Black.punishment,Police.punishment,White.punishment,Black.allowedcommitted,Police.allowedcommitted,White.allowedcommitted,Black.knew,Police.knew,White.knew,Black.should_prevent,Police.should_prevent,White.should_prevent,Black.could_prevent,Police.could_prevent,White.could_prevent,reparation.amount,prior_k2wledge1Y2N,allow_data_use1Y2N,gender1F2M3O4Pna,age_group1182253354455556657758na,ethnicity1asian2black3mix445other6pna
274,7,2,4,1,4,4,5,7,1,1,1,7,1,1,7,1,7,7,1,7,1,1,1,1,1,7,4,7,7,7,50000,1,1,2,7,4
308,7,3,4,3,7,4,6,7,2,4,4,7,1,3,7,1,4,7,4,1,7,4,4,5,1,7,5,1,7,7,50000,1,1,1,2,4
68,8,1,4,2,6,4,4,6,2,3,2,5,1,1,4,3,4,6,4,1,6,1,1,1,1,7,4,1,7,7,50000,2,1,1,5,4
197,8,2,5,2,7,6,4,7,1,5,4,7,6,4,7,7,4,7,7,4,7,7,7,7,7,7,7,7,7,7,50000,2,1,2,3,4
18,11,1,2,6,7,1,6,6,1,1,5,6,1,4,6,1,6,7,4,1,1,5,6,7,2,7,7,1,6,7,50000,2,1,1,2,2
152,11,2,4,5,6,3,5,7,1,4,4,6,2,5,6,2,4,6,2,6,5,3,6,6,2,7,6,3,6,6,50000,1,1,2,6,4
41,13,2,1,1,7,3,6,7,2,2,6,7,1,5,7,1,7,7,4,6,7,4,7,6,5,7,7,1,7,7,50000,2,1,1,4,1
258,18,3,3,4,4,4,4,2,1,2,3,3,3,4,3,3,4,3,5,4,5,5,5,6,4,6,4,4,5,5,50000,1,1,1,3,4
55,5,1,4,2,5,4,3,5,1,5,5,6,4,3,5,5,3,5,2,4,7,3,3,5,4,3,5,3,4,3,40000,2,1,2,2,1
91,6,2,4,3,1,3,5,5,2,6,4,3,4,4,4,4,6,7,4,6,7,6,4,5,3,4,6,4,5,6,38000,2,1,1,1,1
81,5,3,5,3,3,5,3,3,2,4,3,3,5,3,3,5,3,3,4,3,4,4,3,4,4,4,4,4,4,4,32000,2,1,2,3,4
170,7,1,3,2,4,2,4,3,1,3,3,4,2,3,3,4,2,3,2,2,3,3,2,4,2,4,4,2,2,3,25000,2,1,2,1,3
36,9,1,5,5,5,5,5,5,3,4,6,5,6,5,5,6,6,4,5,5,6,5,6,5,6,6,6,4,7,5,25000,2,1,1,2,1
97,6,2,2,4,6,1,4,7,2,1,4,7,1,4,7,1,4,7,2,1,1,3,6,7,6,7,7,7,7,7,20000,2,1,1,4,1
181,6,1,2,3,7,1,7,7,2,1,4,6,1,6,6,1,5,7,3,5,7,2,3,5,1,7,7,1,7,6,20000,1,1,1,6,4
310,6,2,1,1,1,1,1,1,3,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,20000,2,1,1,4,4
40,8,1,4,4,4,3,5,5,2,4,3,5,4,4,5,4,4,5,4,5,5,4,5,6,4,4,5,4,6,5,20000,2,1,1,3,4
278,9,1,2,4,7,2,4,7,2,2,4,7,1,4,7,1,4,7,5,4,7,4,4,7,2,6,7,1,6,7,20000,1,1,2,7,4
118,5,1,4,5,7,4,5,7,2,4,5,7,1,3,5,1,5,7,5,3,1,2,5,6,7,7,7,1,7,7,10000,2,1,1,4,4
54,7,3,2,3,5,2,5,6,2,2,2,6,2,3,4,2,3,4,4,1,6,3,2,2,3,7,7,4,6,6,10000,2,1,2,6,4
327,7,3,1,5,6,1,5,6,2,1,4,6,1,3,6,1,4,5,4,1,1,2,2,3,4,7,6,1,6,6,10000,2,1,2,7,4
174,9,3,6,2,7,4,6,7,2,2,6,7,1,4,4,1,4,6,4,1,6,5,1,7,3,7,5,2,7,5,10000,2,1,2,7,4
156,21,3,6,5,6,4,4,4,1,5,3,6,5,4,5,6,6,6,5,3,5,4,4,4,6,7,6,5,5,5,10000,2,1,1,2,4
59,5,1,5,4,3,4,5,3,1,5,3,4,4,4,3,5,5,5,1,7,4,1,2,4,3,4,7,2,4,4,5000,2,1,1,1,4
39,11,3,6,4,4,3,5,4,1,3,5,4,3,5,6,3,6,3,3,5,4,3,6,6,3,5,5,3,5,5,3000,2,1,1,1,4
52,8,1,3,4,6,2,5,6,2,4,5,5,2,4,6,4,5,4,2,3,6,4,4,4,3,6,4,2,5,4,1000,1,1,2,4,4
169,8,3,5,4,5,2,6,4,1,5,5,5,4,4,6,4,4,4,4,4,4,3,5,7,4,4,5,4,6,5,1000,2,1,1,1,4
24,27,3,4,6,6,5,5,5,2,4,4,4,5,5,5,4,4,4,3,2,3,2,5,4,5,3,5,5,5,5,1000,1,1,2,1,4
14,45,2,1,5,7,1,4,7,2,2,3,7,1,2,7,1,1,7,1,3,7,1,1,6,2,6,7,1,6,7,1000,2,1,1,5,4
32,17,2,2,7,6,1,7,7,2,3,7,7,4,7,6,2,7,7,4,1,7,4,4,4,7,7,7,1,7,7,100,2,1,2,4,4
43,10,1,4,7,4,6,5,4,2,4,5,4,4,5,6,4,5,3,5,4,5,4,4,5,4,5,4,4,5,4,99,1,1,1,2,1
287,7,3,2,4,6,3,5,6,2,2,4,5,2,5,7,2,5,6,3,5,6,4,6,6,3,7,6,2,5,6,70,2,1,1,5,4
64,5,2,6,6,2,7,6,5,2,7,5,3,7,6,4,1,2,1,7,5,4,7,5,4,7,5,5,4,5,4,50,2,1,1,3,1
51,5,3,4,4,4,5,5,1,1,7,6,1,7,4,1,7,2,1,7,4,4,4,3,4,5,5,4,7,3,7,10,2,1,2,2,6
46,5,2,6,3,6,5,4,7,2,5,3,7,5,3,6,4,3,5,5,4,6,6,5,6,4,4,4,4,4,6,0,2,1,2,2,4
53,5,2,3,2,6,2,5,6,1,2,3,6,1,2,7,2,6,6,1,6,2,1,5,6,7,7,7,2,5,7,0,2,1,2,5,4
66,5,2,7,4,3,3,4,2,1,6,5,1,2,5,5,4,1,1,7,4,1,1,4,4,7,4,5,6,6,5,0,2,1,1,4,3
157,5,2,7,3,2,7,1,2,3,7,3,1,7,1,1,7,1,1,7,4,2,4,3,7,7,4,1,7,1,1,0,2,1,2,4,3
224,5,1,5,6,7,2,6,7,1,1,6,7,1,5,7,3,5,7,5,1,7,2,4,6,1,7,1,3,7,1,0,1,1,1,3,4
313,5,1,6,2,5,6,2,5,2,2,4,7,2,4,7,7,2,3,4,1,6,2,2,2,4,7,6,3,7,6,0,1,1,2,4,4
325,5,3,1,1,7,4,3,7,2,2,2,7,1,2,7,2,2,7,4,3,1,1,2,7,1,7,7,1,7,4,0,2,1,1,2,4
34,6,1,4,1,7,1,6,7,1,3,3,7,2,5,7,2,6,6,4,7,7,1,5,6,7,7,7,7,7,7,0,2,1,2,6,4
94,6,2,4,4,4,4,6,5,2,3,5,6,3,3,5,4,5,5,2,6,4,4,5,6,4,7,4,3,6,6,0,1,1,1,6,4
164,6,3,4,4,7,7,4,4,2,4,4,7,4,4,7,4,4,7,4,5,6,6,4,7,4,7,7,2,4,7,0,2,1,1,5,4
219,6,3,4,3,5,4,5,5,2,4,5,6,3,4,5,3,4,5,4,4,5,3,3,5,5,7,5,3,7,5,0,1,1,2,1,3
154,7,2,4,6,7,3,6,6,1,2,5,7,1,1,3,3,5,7,3,4,4,2,4,7,5,7,7,4,5,4,0,2,1,2,7,4
161,7,2,4,6,5,3,4,6,1,4,4,7,1,1,6,4,6,6,4,1,7,3,4,7,2,7,7,5,6,7,0,2,1,1,3,4
11,8,2,1,6,7,1,7,7,2,1,7,7,1,7,7,1,7,7,4,1,7,2,6,6,2,7,7,1,6,7,0,1,1,1,3,4
260,8,3,3,3,4,2,4,5,2,2,4,6,1,4,6,2,4,6,4,2,6,1,3,4,7,7,7,1,7,7,0,2,1,1,4,4
28,9,3,4,1,7,4,5,7,2,1,7,7,1,4,7,4,6,7,4,1,7,1,1,1,7,7,7,4,7,7,0,2,1,1,6,4
158,11,2,3,5,6,2,5,7,2,1,4,7,1,4,7,3,5,7,1,6,7,1,1,2,1,7,6,1,7,7,0,2,1,2,6,4
265,11,2,4,4,5,3,3,5,1,2,2,5,2,3,5,2,3,5,4,4,5,3,3,5,2,3,5,2,3,5,0,2,1,1,3,4
267,11,3,5,5,5,4,4,4,1,3,5,6,5,5,6,4,4,4,5,5,6,6,6,6,3,7,7,2,2,7,0,2,1,2,2,1
15,14,3,4,4,4,6,2,5,3,4,4,4,4,4,4,6,2,5,6,2,5,6,2,5,5,6,5,4,4,4,0,2,1,1,6,4
299,5,1,3,5,4,5,3,3,1,5,2,4,4,3,3,6,4,4,5,4,3,5,5,5,3,2,3,3,3,4,,2,1,4,1,2
261,8,3,4,4,6,6,3,4,2,5,3,4,3,4,6,2,4,4,4,5,5,4,5,6,4,5,4,4,6,4,,2,1,1,5,1
266,8,1,6,5,5,5,6,6,3,5,5,5,6,6,5,6,6,6,6,5,5,6,6,5,5,6,6,6,6,5,,2,1,1,2,4
