id,duration,"cnd(1=Riot,2=Msscr.,3=Evnt)",violence.b,violence.p,violence.w,harm.b,harm.p,harm.w,blame.b,blame.p,blame.w,check1,caused.b,caused.p,caused.w,intention.b,intention.p,intention.w,punish.b,punish.p,punish.w,check2,permissible.b,permiss.p,permiss.w,allow-commit.b,allow-commit.p,allow-commit.w,knew.b,knew.p,knew.w,should.b,should.p,should.w,could.b,could.p,could.w,reparation,priorknowledge,allow,gender,age
154,511,1,4,2,7,7,1,2,2,6,7,1,2,4,6,3,4,7,2,5,6,1,6,4,6,4,2,1,2,5,7,6,7,6,2,7,6,10000,2,1,1,22
64,529,1,5,1,7,7,1,2,7,2,5,1,1,2,7,2,2,7,1,7,7,1,1,5,7,5,1,7,1,2,7,3,7,5,2,7,7,10000,1,1,1,18
104,570,2,2,5,7,7,1,2,1,6,7,1,2,6,7,1,7,7,1,7,7,1,1,6,7,4,1,7,2,5,7,4,7,7,5,7,7,10000,1,1,2,19
126,598,1,5,1,7,7,1,5,3,1,5,0,5,1,6,4,1,4,7,7,7,1,7,4,7,7,1,7,3,3,3,7,7,7,7,7,7,10000,2,1,2,19
141,626,1,1,7,4,7,1,4,7,2,2,1,1,6,7,1,7,5,1,7,6,1,4,4,4,4,7,7,1,7,7,2,7,7,2,7,4,10000,1,1,1,19
147,640,1,5,3,6,5,3,5,4,2,5,1,3,2,5,4,4,6,6,4,6,1,4,3,5,4,1,7,7,4,7,7,7,7,4,7,7,10000,1,1,1,18
178,768,1,2,4,5,5,4,3,2,7,4,0,4,2,7,2,2,5,2,4,6,1,4,4,4,3,4,6,1,1,1,4,7,4,3,7,3,10000,2,1,2,19
51,828,1,2,6,6,7,2,2,6,4,4,0,2,6,6,1,5,7,2,7,7,1,1,6,6,4,7,7,2,6,7,6,7,7,2,7,7,10000,1,1,2,19
133,839,3,2,6,7,2,6,7,7,1,1,1,3,5,7,1,5,7,2,6,7,1,2,6,7,4,1,7,2,4,7,7,7,7,7,7,7,10000,1,1,2,19
157,877,1,2,5,6,7,1,1,7,1,1,0,1,4,7,1,5,7,7,1,1,1,1,6,7,4,1,7,2,6,7,4,7,4,2,7,7,10000,2,1,1,19
100,717,3,4,5,7,7,4,4,2,6,7,1,3,5,6,1,4,7,1,4,7,1,1,4,7,4,5,7,2,2,6,1,7,7,3,7,6,9000,1,1,2,19
41,473,3,5,6,7,7,3,2,4,7,6,1,1,3,5,1,3,6,3,4,5,1,2,4,7,4,1,7,4,7,6,1,7,3,2,7,7,5000,1,1,1,18
49,520,1,2,3,7,7,3,1,7,1,1,1,1,4,7,1,4,7,1,5,7,1,2,4,7,4,1,7,1,4,7,2,7,7,2,7,7,5000,2,1,1,20
91,581,2,5,3,7,7,2,2,2,7,7,0,6,6,6,2,4,7,4,7,7,1,2,6,7,4,1,7,4,4,6,5,7,7,1,7,7,5000,1,1,2,19
121,698,2,2,4,7,7,5,3,7,5,3,1,1,4,7,1,3,7,1,5,7,1,2,5,7,4,2,7,2,5,7,2,7,7,1,7,7,5000,2,1,1,19
79,973,3,1,5,7,7,2,2,7,5,5,1,2,3,7,1,2,4,7,1,1,1,2,5,7,2,6,6,2,1,3,4,7,4,3,7,7,5000,1,1,2,19
137,2975,2,4,4,7,7,2,2,2,4,7,1,2,3,7,1,2,7,1,5,7,1,1,6,7,1,6,7,5,7,7,2,7,7,1,7,6,5000,1,1,1,18
16,560,3,3,4,7,7,2,1,6,2,2,1,2,3,7,2,3,7,1,2,6,1,7,4,1,4,1,7,3,4,7,7,7,7,2,7,7,3000,2,1,1,19
152,455,1,5,5,7,3,4,7,3,4,7,1,4,4,7,4,4,6,2,3,6,1,3,3,7,3,5,7,3,5,2,3,6,5,3,3,5,2000,1,1,1,19
134,476,2,1,5,7,7,1,2,1,6,7,1,2,6,7,1,5,7,1,7,7,1,1,7,7,4,1,1,3,5,7,7,7,7,1,7,7,2000,1,1,1,18
105,421,2,2,4,7,7,2,1,2,4,7,1,2,2,7,1,3,7,1,4,7,1,6,3,1,4,3,7,4,5,4,3,6,6,1,4,7,1000,1,1,1,18
29,503,3,1,4,7,7,1,1,7,1,1,0,1,7,7,1,7,7,1,7,7,1,1,7,7,2,7,7,2,7,7,7,7,7,1,7,7,1000,1,1,1,20
36,755,3,1,5,7,6,3,1,1,4,6,1,1,4,7,1,5,6,1,4,7,1,1,5,7,4,5,7,2,5,7,1,7,6,1,5,7,1000,1,1,1,20
18,905,1,5,1,5,5,2,7,5,1,6,0,4,1,7,5,2,6,5,5,5,1,6,7,6,7,1,7,5,4,6,7,7,7,5,7,5,1000,2,1,1,18
13,1216,2,3,4,7,5,4,7,7,2,1,0,5,2,5,5,3,7,4,5,6,1,4,4,6,4,1,6,5,4,6,5,7,5,5,7,5,1000,2,1,1,18
46,396,2,4,3,7,7,2,2,4,5,7,1,3,4,5,2,2,5,2,3,5,1,3,4,6,4,2,6,2,2,3,6,6,6,4,6,6,500,1,1,1,20
43,506,2,5,6,7,7,1,2,7,1,2,0,3,4,7,2,5,7,2,5,7,1,4,7,4,4,1,7,3,4,6,3,7,5,2,7,4,500,1,1,1,18
84,492,1,4,4,6,4,6,7,2,6,6,1,3,6,6,3,5,7,2,4,7,1,3,5,7,2,7,7,3,4,6,3,7,7,2,7,7,0,1,1,1,19
88,523,2,3,2,7,7,1,2,2,4,6,1,2,4,7,1,3,7,1,6,4,1,2,4,7,4,1,7,1,1,1,1,7,3,1,7,4,0,1,1,2,19
145,532,3,5,2,6,4,2,6,5,3,6,1,5,3,7,1,1,1,5,2,7,1,5,3,7,5,4,7,4,4,5,4,7,4,5,7,5,0,2,1,2,19
149,548,2,3,5,5,7,4,2,2,5,7,1,4,4,4,1,4,7,2,4,6,1,3,7,7,4,1,7,1,4,7,4,7,7,1,7,7,0,1,1,2,19
37,680,2,4,6,7,7,3,4,3,4,7,0,4,2,6,3,1,5,4,6,7,1,1,4,7,5,6,7,3,4,5,3,7,5,2,7,6,0,1,1,2,18
99,687,3,2,3,6,6,3,4,1,3,6,0,2,3,6,2,4,6,2,5,6,1,3,5,6,4,2,6,2,4,6,4,6,5,2,5,5,0,2,1,2,19
40,703,3,4,4,7,7,3,3,3,5,7,0,1,3,7,2,3,7,1,3,7,1,1,4,6,3,1,7,2,5,7,1,7,6,2,7,7,0,1,1,2,18
76,803,3,2,6,6,7,2,1,2,6,6,1,2,3,6,1,2,5,2,4,6,1,2,4,6,4,2,6,3,5,4,7,7,7,2,7,4,0,1,1,1,21
127,885,2,4,6,7,6,4,3,6,5,6,0,5,3,6,3,3,6,4,7,6,1,3,5,6,3,1,7,2,2,6,3,7,7,3,7,7,0,1,1,2,18
139,1308,3,1,4,7,7,1,1,1,7,7,1,1,7,7,1,1,1,1,7,7,1,1,6,6,4,1,7,1,1,1,1,7,1,1,7,7,0,2,1,1,28
159,3723,2,2,5,7,7,3,2,2,3,6,0,2,3,7,1,2,6,3,2,7,1,5,3,7,4,1,7,5,3,7,7,7,7,2,7,7,0,2,1,2,21
138,122404,1,1,4,7,7,1,1,7,6,3,1,1,5,7,1,4,6,1,5,7,1,2,5,7,3,5,7,1,6,7,1,7,7,1,7,7,0,1,1,1,19
128,486,3,3,4,7,7,1,1,1,7,7,1,2,5,7,1,2,7,1,7,7,0,2,4,7,4,1,7,3,7,7,1,7,2,1,7,7,100000,1,1,1,19
73,442,2,5,5,5,5,5,5,5,5,5,1,4,6,4,4,4,4,4,5,4,0,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,100000,2,1,1,18
161,415,2,4,4,4,4,4,4,4,4,4,0,4,4,4,4,4,4,4,4,4,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,100000,1,1,1,19
153,440,2,4,4,4,4,4,4,4,4,4,0,4,4,4,4,4,4,4,4,4,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,100000,1,1,1,19
17,452,2,1,5,7,7,2,2,1,6,7,0,2,6,7,1,6,7,1,7,7,0,1,6,7,4,1,7,4,6,7,1,7,7,1,6,7,100000,1,1,2,19
171,517,3,3,7,7,3,7,7,2,7,7,1,2,7,7,1,7,7,1,7,7,0,1,7,7,4,7,7,1,7,7,7,7,7,1,7,7,100000,1,1,1,20
22,519,1,4,5,7,7,4,1,2,4,7,1,1,4,7,2,4,7,1,4,7,0,1,5,7,4,1,7,1,5,7,2,7,7,2,7,7,100000,1,1,1,19
2,521,2,4,4,7,7,2,2,1,4,7,1,1,4,7,1,1,7,1,4,7,0,1,7,7,4,1,7,1,4,7,7,7,7,7,7,7,100000,1,1,2,27
15,566,1,1,6,7,7,1,1,1,7,7,0,1,6,7,1,4,7,1,6,7,0,1,5,7,4,1,7,4,6,7,1,7,7,1,7,7,100000,1,1,2,19
68,591,1,5,7,7,6,5,7,7,7,7,0,6,6,6,5,6,7,2,7,5,0,4,7,6,6,7,7,7,7,7,3,7,6,1,3,2,100000,1,1,2,19
89,598,1,5,6,7,7,5,4,7,6,7,1,4,5,6,3,7,7,3,6,7,0,3,7,7,1,7,7,5,6,7,6,7,6,2,7,7,100000,1,1,1,18
56,608,1,4,6,7,7,2,2,2,5,7,1,2,4,7,1,5,7,2,4,7,0,1,5,7,4,5,7,5,5,5,3,7,5,6,7,7,100000,1,1,1,19
146,669,1,1,7,7,7,1,1,1,7,7,1,1,6,7,1,6,7,1,7,7,0,7,1,1,4,1,7,3,7,7,1,7,6,1,7,7,100000,1,1,1,18
122,772,3,2,5,7,7,4,2,2,5,7,1,1,3,7,1,2,7,1,5,7,0,2,5,7,4,1,7,2,4,7,7,7,7,4,7,7,100000,1,1,1,18
35,897,3,3,4,7,2,4,7,2,6,7,1,3,5,7,4,6,7,1,7,7,0,1,5,7,5,6,7,7,7,7,1,7,7,2,7,7,100000,1,1,1,20
60,962,2,4,3,4,5,2,2,6,2,2,0,3,3,6,3,3,6,3,4,7,0,4,4,4,2,5,6,2,6,6,7,7,7,5,6,7,100000,2,1,2,20
9,1000,3,7,7,7,7,3,1,7,7,7,1,4,7,7,4,3,7,1,7,7,0,3,7,7,5,1,7,3,1,5,5,7,5,4,7,4,100000,1,1,2,21
167,463,2,4,5,6,5,5,7,3,4,7,1,5,5,7,5,5,6,4,4,7,0,2,3,5,3,2,2,2,2,2,7,7,7,6,7,7,90000,1,1,1,19
158,753,3,3,4,6,6,2,2,7,3,4,0,4,3,6,6,2,6,5,1,2,0,4,6,6,7,1,7,1,4,4,6,7,6,6,7,6,75000,1,1,2,20
117,840,3,3,7,7,7,3,4,2,7,6,1,7,7,7,1,7,7,1,7,6,0,1,7,7,3,6,7,4,7,7,4,7,6,7,7,7,75000,1,1,2,20
118,961,2,4,7,7,7,3,3,7,2,2,0,4,4,4,3,4,4,3,5,5,0,2,6,6,3,7,5,2,4,2,4,7,4,4,7,4,75000,2,1,1,19
75,580,1,2,1,7,6,1,2,2,4,7,1,2,3,7,2,2,5,1,4,6,0,3,5,7,4,2,6,4,3,4,3,7,4,3,7,5,65000,1,1,2,20
173,377,1,4,4,4,4,4,4,4,4,4,0,4,4,4,4,4,4,4,4,4,0,4,4,4,5,5,5,5,5,4,4,5,5,5,3,4,62581,1,1,2,18
4,429,2,1,3,7,7,1,1,7,1,1,1,1,7,7,1,7,7,1,6,7,0,1,7,7,4,1,7,2,7,7,2,7,7,1,7,7,50000,1,1,1,20
57,458,2,5,6,4,6,3,4,7,5,3,1,3,5,4,2,4,3,4,6,5,0,4,5,5,4,6,4,4,7,5,5,7,5,5,7,5,50000,2,1,1,19
58,475,3,1,3,7,7,2,2,2,3,6,1,1,1,7,2,2,7,1,1,7,0,1,4,7,4,3,7,1,4,7,1,7,7,1,7,7,50000,1,1,1,19
28,532,2,5,3,7,7,2,4,5,2,7,1,4,2,6,2,1,4,4,2,7,0,5,4,7,5,2,7,1,1,1,3,7,3,7,7,7,50000,1,1,1,19
